1: ProtocolRequired - \handshake\ProtocolRequired.as
2: NetworkDataContainerMessage - \common\NetworkDataContainerMessage.as
3: HelloConnectMessage - \connection\HelloConnectMessage.as
4: IdentificationMessage - \connection\IdentificationMessage.as
10: LoginQueueStatusMessage - \queues\LoginQueueStatusMessage.as
20: IdentificationFailedMessage - \connection\IdentificationFailedMessage.as
21: IdentificationFailedForBadVersionMessage - \connection\IdentificationFailedForBadVersionMessage.as
22: IdentificationSuccessMessage - \connection\IdentificationSuccessMessage.as
30: ServersListMessage - \connection\ServersListMessage.as
40: ServerSelectionMessage - \connection\ServerSelectionMessage.as
41: SelectedServerRefusedMessage - \connection\SelectedServerRefusedMessage.as
42: SelectedServerDataMessage - \connection\SelectedServerDataMessage.as
50: ServerStatusUpdateMessage - \connection\ServerStatusUpdateMessage.as
75: ConsoleMessage - \authorized\ConsoleMessage.as
76: AdminCommandMessage - \authorized\AdminCommandMessage.as
101: HelloGameMessage - \game\approach\HelloGameMessage.as
109: AlreadyConnectedMessage - \game\approach\AlreadyConnectedMessage.as
110: AuthenticationTicketMessage - \game\approach\AuthenticationTicketMessage.as
111: AuthenticationTicketAcceptedMessage - \game\approach\AuthenticationTicketAcceptedMessage.as
112: AuthenticationTicketRefusedMessage - \game\approach\AuthenticationTicketRefusedMessage.as
150: CharactersListRequestMessage - \game\character\choice\CharactersListRequestMessage.as
151: CharactersListMessage - \game\character\choice\CharactersListMessage.as
152: CharacterSelectionMessage - \game\character\choice\CharacterSelectionMessage.as
153: CharacterSelectedSuccessMessage - \game\character\choice\CharacterSelectedSuccessMessage.as
160: CharacterCreationRequestMessage - \game\character\creation\CharacterCreationRequestMessage.as
161: CharacterCreationResultMessage - \game\character\creation\CharacterCreationResultMessage.as
162: CharacterNameSuggestionRequestMessage - \game\character\creation\CharacterNameSuggestionRequestMessage.as
164: CharacterNameSuggestionFailureMessage - \game\character\creation\CharacterNameSuggestionFailureMessage.as
165: CharacterDeletionRequestMessage - \game\character\deletion\CharacterDeletionRequestMessage.as
166: CharacterDeletionErrorMessage - \game\character\deletion\CharacterDeletionErrorMessage.as
167: CharacterReplayRequestMessage - \game\character\replay\CharacterReplayRequestMessage.as
170: SetCharacterRestrictionsMessage - \game\initialization\SetCharacterRestrictionsMessage.as
175: BasicTimeMessage - \game\basic\BasicTimeMessage.as
176: BasicNoOperationMessage - \game\basic\BasicNoOperationMessage.as
177: BasicDateMessage - \game\basic\BasicDateMessage.as
179: BasicWhoIsNoMatchMessage - \game\basic\BasicWhoIsNoMatchMessage.as
180: BasicWhoIsMessage - \game\basic\BasicWhoIsMessage.as
181: BasicWhoIsRequestMessage - \game\basic\BasicWhoIsRequestMessage.as
182: BasicPingMessage - \common\basic\BasicPingMessage.as
183: BasicPongMessage - \common\basic\BasicPongMessage.as
189: SystemMessageDisplayMessage - \server\basic\SystemMessageDisplayMessage.as
200: GameContextCreateMessage - \game\context\GameContextCreateMessage.as
201: GameContextDestroyMessage - \game\context\GameContextDestroyMessage.as
210: MapFightCountMessage - \game\context\roleplay\MapFightCountMessage.as
220: CurrentMapMessage - \game\context\roleplay\CurrentMapMessage.as
221: ChangeMapMessage - \game\context\roleplay\ChangeMapMessage.as
225: MapInformationsRequestMessage - \game\context\roleplay\MapInformationsRequestMessage.as
226: MapComplementaryInformationsDataMessage - \game\context\roleplay\MapComplementaryInformationsDataMessage.as
250: GameContextCreateRequestMessage - \game\context\GameContextCreateRequestMessage.as
251: GameContextRemoveElementMessage - \game\context\GameContextRemoveElementMessage.as
252: GameContextRemoveMultipleElementsMessage - \game\context\GameContextRemoveMultipleElementsMessage.as
253: GameContextMoveElementMessage - \game\context\GameContextMoveElementMessage.as
254: GameContextMoveMultipleElementsMessage - \game\context\GameContextMoveMultipleElementsMessage.as
255: GameContextQuitMessage - \game\context\GameContextQuitMessage.as
300: GameRolePlayRemoveChallengeMessage - \game\context\roleplay\fight\GameRolePlayRemoveChallengeMessage.as
301: GameRolePlayShowChallengeMessage - \game\context\roleplay\fight\GameRolePlayShowChallengeMessage.as
500: CharacterStatsListMessage - \game\character\stats\CharacterStatsListMessage.as
700: GameFightStartingMessage - \game\context\fight\GameFightStartingMessage.as
701: GameFightJoinRequestMessage - \game\context\fight\GameFightJoinRequestMessage.as
